SITES,Year,R1,R2
GYMNASE JEAN BART,2017,3611,3634
MAQ CLOS AU DUC,2017,3046,3389
MAQ NETREVILLE,2017,1431,4764
LA POSTE,2017,0,0
HOTEL AGGLOMERATION EVREUX,2017,13377,11541
OREE D'EVREUX 28L,2017,8016,6286
POSTE NETREVILLE,2017,1933,2014
GYMNASE MAXIME MARCHAND,2017,1251,3241
COLLEGE HENRI DUNANT,2017,10766,8398
GSK - BAT ADAM,2017,18375,14733
GSK - BAT CASCADES,2017,31937,19644
GSK - CHAUFFERIE EST N°1,2017,14716,73665
GSK - COMPRIMES 1,2017,0,19644
GSK - DISKUS,2017,219459,147330
GSK - DISTRIBUTION N°1,2017,104565,29469
GSK - ENERGIE OUEST N°1,2017,62731,36833
GSK - ENERGIE OUEST N°2,2017,62731,36833
AFPA,2017,63007,47833
BAT D7.D8,2017,2157,1228
BAT TOULOUSE LAUTREC,2017,1624,1473
C.F.A N°1,2017,38068,26814
CHAMBRE DES METIERS,2017,8998,8646
CONFORAMA,2017,14651,6925
REXEL,2017,4958,4027
DEUTSCH N°1,2017,69435,58416
DEUTSCH N°2,2017,69435,58416
FERMETURES VENTOISES,2017,3714,2308
LA RONCE,2017,25767,32756
POLE EMPLOI,2017,,3241
HOTEL DES IMPOTS,2017,5298,7170
S.D.P.P,2017,34668,20899
S.P.PARFUMS,2017,0,0
PRO.LANGE 40L,2017,7243,5353
PREVADIES,2017,0,0
SPX,2017,18782,20135
LYCEE A.BRIAND,2017,77579,67182
LYCEE AUGUSTIN HEBERT ,2017,42109,28706
LYCEE HORTICOLE,2017,23453,16144
LYCEE MODESTE LEROY ,2017,76358,57020
LYCEE SENGHOR,2017,45270,39551
SAIEM S2 - 310L,2017,102964,93113
